,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
PINRANG,-,0,0,-,-,-,-,-,0.006,0.003,0.003,0.01,0.004,0.01,0.005,0.004,1.963,1.662,1.622,1.578,1.55,1.586,1.523,1.595,0.084,0.118,0.09,0.088,0.078,0.056,0.142,0.069,0.083,0.082,0.044,0.056,0.048,0.077,0.064
ENREKANG,-,0,0.001,0,0,0,0,-,0.056,0.054,0.054,0.052,0.063,0.054,0.057,0.056,1.905,1.939,1.846,1.865,1.692,1.747,1.749,1.555,0.044,0.041,0.083,0.033,0.034,0.035,0.098,0.058,0.124,0.084,0.093,0.083,0.097,0.079,0.105
LUWU,0,0,0,-,0,0,-,0,0.011,0.004,0.004,0.006,0.007,0.009,0.009,0.01,1.803,1.644,1.936,1.944,1.909,1.846,1.656,1.697,0.075,0.059,0.057,0.081,0.062,0.046,0.08,0.082,0.08,0.055,0.072,0.104,0.1,0.095,0.09
TANA TORAJA,0,0,0,0,-,0,0,0,0.014,0.027,0.018,0.01,0.008,0.019,0.006,0.021,2.473,2.086,2.149,2.111,1.989,2.108,2.218,2.082,0.03,0.077,0.079,0.023,0.019,0.036,0.07,0.048,0.041,0.065,0.046,0.054,0.045,0.054,0.045
LUWU UTARA,0,0,0,0,0,-,0,-,0.004,0.006,0.002,0.004,0.007,0.004,0.005,0.011,1.828,1.689,1.828,1.754,1.775,1.992,1.844,1.758,0.081,0.122,0.068,0.08,0.073,0.106,0.112,0.141,0.076,0.073,0.11,0.098,0.104,0.113,0.119
LUWU TIMUR,0.002,0,0.001,0,-,0,0,0.001,0.02,0.019,0.016,0.013,0.015,0.017,0.015,0.022,1.89,1.821,1.771,1.947,1.899,1.916,1.752,1.791,0.058,0.075,0.067,0.064,0.042,0.056,0.098,0.053,0.07,0.055,0.067,0.098,0.082,0.079,0.089
TORAJA UTARA,0,0,0.001,0,0,-,-,0,0.008,0.009,0.009,0.006,0.011,0.007,0.011,0.01,2.051,2.157,2.066,2.251,2.047,2.1,1.956,1.92,0.02,0.02,0.016,0.02,0.024,0.037,0.035,0.018,0.056,0.042,0.037,0.043,0.05,0.04,0.028
KOTA MAKASSAR,0,0,0,-,-,0,-,0,0.052,0.048,0.052,0.069,0.07,0.058,0.065,0.05,1.443,1.472,1.589,1.64,1.714,1.68,1.581,1.523,0.065,0.074,0.098,0.074,0.042,0.055,0.176,0.062,0.049,0.069,0.075,0.071,0.084,0.074,0.065
KOTA PARE PARE,0,0,0,-,-,-,0,-,0.016,0.017,0.018,0.023,0.019,0.014,0.012,0.022,1.467,1.431,1.613,1.588,1.63,1.664,1.49,1.493,0.067,0.108,0.104,0.101,0.097,0.069,0.129,0.133,0.038,0.072,0.054,0.048,0.044,0.019,0.038
KOTA PALOPO,0,0,0,-,0.002,0,-,-,0.018,0.007,0.01,0.01,0.015,0.009,0.015,0.018,1.682,1.583,1.554,1.654,1.425,1.597,1.555,1.572,0.087,0.073,0.119,0.121,0.101,0.062,0.082,0.084,0.062,0.071,0.065,0.077,0.085,0.075,0.069
BUTON,-,0,0,-,0.001,-,-,-,-,0,0.001,0.001,0.001,0.002,-,0,1.806,1.683,1.794,1.882,1.825,1.844,1.728,1.698,0.112,0.149,0.245,0.179,0.051,0.09,0.258,0.132,0.077,0.098,0.103,0.103,0.102,0.121,0.125
MUNA,0.001,0.001,0,0,-,-,-,-,0.001,0.003,0.002,0,0.001,0.001,0.002,0.002,1.712,1.762,1.77,1.856,1.964,1.893,1.861,1.779,0.092,0.079,0.091,0.047,0.037,0.051,0.117,0.062,0.076,0.094,0.069,0.088,0.086,0.095,0.061
KONAWE,0,0,0.001,-,-,-,-,0.001,0.003,0.005,0.007,0.001,0.005,0.002,0.003,0.004,1.737,1.784,1.685,1.662,1.8,1.882,1.732,1.903,0.104,0.08,0.039,0.046,0.024,0.07,0.046,0.03,0.113,0.121,0.103,0.106,0.097,0.116,0.085
KOLAKA,-,0.001,0,0,0.001,0,-,-,0.006,0.004,0.002,0.004,0.006,0.007,0.003,0.009,1.823,1.918,1.84,1.826,1.676,1.89,1.712,1.926,0.047,0.054,0.046,0.031,0.03,0.041,0.039,0.049,0.065,0.086,0.103,0.097,0.095,0.112,0.073
KONAWE SELATAN,-,0,0,0,0,0,0,-,0.004,0.007,0.005,0.007,0.003,0.006,0.004,0.005,1.857,1.849,1.811,1.816,1.783,1.885,1.736,1.618,0.057,0.078,0.081,0.064,0.061,0.06,0.072,0.029,0.102,0.08,0.128,0.103,0.117,0.103,0.105
BOMBANA,0,0,0,-,0,0,0,-,0.002,0.002,0,0.004,0.002,0.002,0.003,0.005,2.032,1.898,1.881,1.836,1.878,1.966,1.965,1.758,0.076,0.136,0.205,0.084,0.043,0.064,0.138,0.078,0.096,0.074,0.077,0.076,0.06,0.064,0.063
WAKATOBI,-,0,0,-,-,0,-,-,0.003,0,0,0.003,0.001,0.002,0.001,0.002,1.772,1.839,1.701,1.789,1.962,1.908,1.995,1.852,0.119,0.018,0.119,0.012,0.006,0.016,0.129,0.072,0.047,0.048,0.044,0.028,0.047,0.05,0.042
KOLAKA UTARA,-,0,0,0,-,-,-,-,0.001,0.002,0.003,0.005,0.004,0.003,0.002,0.001,1.981,1.891,1.969,1.919,1.8,1.839,1.739,1.864,0.076,0.079,0.053,0.088,0.113,0.09,0.104,0.108,0.096,0.091,0.106,0.078,0.066,0.076,0.062
BUTON UTARA,-,0,0,-,0.001,0,-,-,0,0,0,0.001,0.001,0.002,-,0.001,2.173,1.956,2.066,2.144,2.027,2.063,1.979,2.077,0.149,0.177,0.144,0.128,0.063,0.049,0.103,0.057,0.088,0.064,0.049,0.066,0.086,0.081,0.071
KONAWE UTARA,0,0,0,-,-,-,0.001,-,0.003,0.002,0.003,0.004,0.008,0.004,0.002,0.008,1.645,1.752,1.77,1.855,1.773,1.7,1.648,1.836,0.075,0.123,0.107,0.069,0.064,0.068,0.082,0.04,0.086,0.052,0.064,0.06,0.061,0.055,0.066
KOLAKA TIMUR,-,0,0,0,0,0,0.001,0,0.009,0,0.002,0.002,0.004,0.002,0.004,0.007,1.98,1.894,1.887,1.892,1.886,1.844,1.85,1.861,0.091,0.102,0.114,0.075,0.035,0.037,0.038,0.075,0.086,0.074,0.088,0.071,0.121,0.092,0.082
KONAWE KEPULAUAN,-,0,0,-,0,0.001,-,-,-,0,0,0,0,0,0,0,1.475,1.745,1.575,1.711,1.615,1.882,1.863,1.521,0.062,0.036,0.01,0.04,0.029,0.041,0.025,0.011,0.073,0.086,0.107,0.074,0.076,0.079,0.065
MUNA BARAT,-,0,0,0,-,-,-,-,-,0.001,0.001,0,0,0,-,0.001,1.916,1.868,1.775,2.041,2.066,1.944,1.889,1.852,0.038,0.097,0.194,0.051,0.037,0.046,0.109,0.057,0.07,0.129,0.09,0.093,0.105,0.1,0.053
BUTON TENGAH,-,0,0,-,-,-,-,-,0.011,0,0,0.001,0,0.001,0,0.002,1.973,1.833,1.882,1.787,1.818,1.753,1.703,1.706,0.026,0.02,0.024,0.019,0.017,0.016,0.071,0.034,0.077,0.05,0.052,0.081,0.097,0.076,0.042
BUTON SELATAN,-,0,0,0,-,-,0.005,0,-,0.001,0.001,0,0,0,0,0.001,1.855,1.641,1.753,1.809,1.766,1.807,1.65,1.514,0.092,0.074,0.076,0.08,0.027,0.076,0.149,0.058,0.03,0.073,0.066,0.078,0.087,0.084,0.152
KOTA KENDARI,-,0,0,-,-,-,-,-,0.015,0.015,0.013,0.013,0.016,0.015,0.012,0.023,1.612,1.649,1.549,1.529,1.515,1.688,1.578,1.467,0.058,0.088,0.049,0.041,0.028,0.055,0.047,0.046,0.132,0.122,0.132,0.148,0.13,0.106,0.118
KOTA BAU BAU,0.001,0,0,0,0,0,-,-,0.009,0.005,0.006,0.005,0.005,0.004,0.007,0.01,1.726,1.706,1.698,1.696,1.695,1.675,1.584,1.642,0.052,0.112,0.122,0.056,0.013,0.018,0.095,0.106,0.054,0.069,0.064,0.072,0.063,0.069,0.066
BOALEMO,-,0,0,-,0,0,-,-,0.005,0.003,0.006,0.005,0.004,0.005,0.003,0.006,1.639,1.722,1.714,1.642,1.712,1.92,1.818,1.834,0.045,0.1,0.043,0.089,0.061,0.123,0.125,0.081,0.014,0.02,0.033,0.023,0.03,0.021,0.024
GORONTALO,0,0,0,0,-,-,0,0,0.014,0.01,0.013,0.025,0.014,0.019,0.008,0.008,1.675,1.805,1.793,1.793,1.814,1.81,1.766,1.804,0.029,0.086,0.088,0.036,0.048,0.048,0.093,0.048,0.009,0.014,0.017,0.021,0.024,0.013,0.02
PAHUWATO,-,0,0,0,-,0,0,0.002,0.002,0.008,0.005,0.006,0.005,0.002,0.011,0.002,1.871,1.878,1.82,1.812,1.753,1.881,1.803,1.804,0.04,0.087,0.091,0.062,0.044,0.041,0.064,0.038,0.024,0.025,0.027,0.017,0.033,0.02,0.022
BONE BOLANGO,0,0,0,0.001,0,-,0,0.001,0.018,0.017,0.026,0.018,0.017,0.023,0.018,0.018,1.739,1.566,1.542,1.58,1.64,1.634,1.657,1.715,0.094,0.087,0.062,0.037,0.044,0.031,0.058,0.027,0.025,0.029,0.024,0.025,0.03,0.032,0.027
GORONTALO UTARA,0,0,0,0.002,-,0,0,0,0.002,0.001,0.002,0.005,0.002,0.004,0.001,0.003,1.956,1.825,1.771,1.891,1.716,1.898,1.75,1.69,0.052,0.098,0.095,0.098,0.04,0.066,0.17,0.044,0.011,0.013,0.013,0.02,0.01,0.016,0.015
KOTA GORONTALO,-,0,0,0,-,0,0,0,0.015,0.02,0.016,0.027,0.041,0.03,0.02,0.024,1.513,1.587,1.632,1.558,1.527,1.58,1.715,1.694,0.033,0.031,0.053,0.025,0.034,0.036,0.057,0.052,0.028,0.025,0.02,0.024,0.025,0.026,0.019
MAJENE,-,0,0,-,-,0,-,-,0.001,0.002,0.001,0.005,0.007,0.007,0.004,0.004,1.916,1.947,1.976,2.028,1.837,2.052,1.836,1.655,0.014,0.038,0.027,0.043,0.017,0.055,0.117,0.061,0.058,0.064,0.041,0.058,0.071,0.045,0.054
POLEWALI MANDAR,-,0,0,0,0,-,-,-,0.001,0.001,0.001,0.002,0.002,0.004,0.001,0.004,2.153,2.034,1.994,2.026,2.079,2.125,2.192,2.017,0.012,0.049,0.057,0.05,0.034,0.092,0.036,0.042,0.021,0.038,0.04,0.035,0.054,0.058,0.051
MAMASA,0,0,0,0,0.001,-,-,-,0.011,0.012,0.006,0.002,0.002,0.004,0.002,0.002,2.225,2.175,1.958,2.356,2.26,2.179,2.083,1.993,0.017,0.041,0.044,0.015,0.006,0.011,0.024,0.022,0.037,0.04,0.028,0.034,0.036,0.036,0.026
MAMUJU,0.001,0,0.001,0.001,-,-,0,0,0.009,0,0.008,0.004,0.003,0.008,0.008,0.007,1.795,1.85,1.842,1.774,1.856,1.914,1.949,1.776,0.049,0.029,0.044,0.087,0.053,0.087,0.047,0.066,0.061,0.074,0.073,0.069,0.108,0.087,0.076
MAMUJU UTARA,0,0,0,-,0,0.001,0,0.001,0.009,0.01,0.006,0.008,0.004,0.01,0.007,0.006,1.82,1.722,1.843,1.913,1.682,1.944,1.767,1.821,0.05,0.081,0.074,0.059,0.074,0.08,0.095,0.111,0.085,0.108,0.069,0.076,0.079,0.084,0.095
MAMUJU TENGAH,-,0.001,0,0,0,-,0,0.001,0.004,0.007,0.009,0.009,0.007,0.011,0.006,0.011,1.939,1.956,1.852,1.945,1.824,1.903,1.757,1.76,0.079,0.061,0.061,0.051,0.048,0.041,0.063,0.05,0.079,0.071,0.064,0.104,0.091,0.074,0.084
MALUKU TENGGARA BARAT,-,0,0,-,0,-,0,-,0.001,0.004,0.002,0.001,0,0.001,0.002,0.002,1.391,1.543,1.594,1.553,1.616,1.575,1.67,1.516,0.093,0.338,0.171,0.127,0.035,0.09,0.245,0.257,0.027,0.015,0.037,0.027,0.037,0.043,0.031
MALUKU TENGGARA,-,0,0,-,-,-,-,-,0.003,0.002,0.003,0.003,0.002,0.001,0.01,0,1.59,1.671,1.547,1.535,1.599,1.672,1.783,1.678,0.013,0.008,0.1,0,-,0.006,0.216,0.005,0.019,0.028,0.043,0.04,0.035,0.029,0.055
MALUKU TENGAH,-,0,0,0,-,0.001,-,-,0.003,0.004,0.008,0.007,0.01,0.012,0.007,0.01,1.52,1.557,1.479,1.504,1.637,1.514,1.523,1.594,0.027,0.008,0.006,0.003,0.004,0.041,0.008,0.023,0.052,0.057,0.06,0.058,0.069,0.07,0.049
BURU,-,0,0.001,-,-,0.001,0,-,0.005,0.008,0.004,0.004,0.006,0.001,0.004,0.005,1.512,1.59,1.512,1.615,1.54,1.604,1.69,1.724,0.026,0.069,0.044,0.02,0.01,0.011,0.027,0.043,0.059,0.064,0.044,0.054,0.075,0.062,0.056
KEPULAUAN ARU,-,0,0,-,-,0.001,-,0,0.004,0.004,0.001,0.004,0.001,0.003,0.002,0.004,1.218,1.193,1.207,1.375,1.373,1.41,1.333,1.196,0.01,0.017,0.011,0,0,0.004,0.025,0.001,0.03,0.056,0.051,0.051,0.055,0.031,0.047
SERAM BAGIAN BARAT,-,0.001,0,-,0.001,-,-,0.002,0.001,0.002,0.002,0.008,0.003,0.007,0.003,0.002,1.179,1.279,1.322,1.252,1.306,1.455,1.279,1.423,0.011,0.02,0.053,0.017,0.011,0.019,0.019,0.023,0.014,0.023,0.043,0.04,0.038,0.047,0.038
SERAM BAGIAN TIMUR,-,0.001,0,-,-,-,0.001,-,0.002,0.003,0.002,0.001,0.002,0.002,0.001,0.002,1.382,1.249,1.416,1.214,1.259,1.222,1.246,1.344,0.006,0.013,0.009,0.006,0.001,0.007,0.011,0.013,0.109,0.059,0.059,0.042,0.046,0.065,0.07
MALUKU BARAT DAYA,0,0.002,0,0.001,-,-,0.003,0,0.001,0.001,0.002,0.001,0.004,0.004,0,0.001,1.237,1.09,1.392,1.409,1.461,1.727,1.912,1.681,0.035,0.096,0.04,0.122,0.01,0.09,0.049,0.077,0.021,0.046,0.038,0.027,0.042,0.049,0.06
BURU SELATAN,0.001,0,0,0,-,-,0,-,0.002,0.004,0.002,0.005,0.003,0.007,0.002,0.001,1.375,1.442,1.328,1.314,1.493,1.427,1.45,1.47,0.025,0.006,0.009,0.014,0.002,0.013,0,0.006,0.054,0.027,0.026,0.037,0.036,0.033,0.028
KOTA AMBON,0,0,0,0,0,0,0,-,0.033,0.032,0.03,0.031,0.036,0.027,0.025,0.035,1.464,1.475,1.406,1.518,1.517,1.498,1.615,1.487,0.028,0.019,0.024,0.04,0.022,0.012,0.028,0.033,0.066,0.102,0.093,0.077,0.095,0.06,0.061
KOTA TUAL,-,0,0,0,-,-,-,-,0.002,0.003,0.003,0.003,0.002,0.003,0.012,0.004,1.642,1.685,1.67,1.691,1.683,1.892,1.811,1.869,0.005,0.05,0.03,0.002,0.003,0.004,0.281,0.035,0.037,0.056,0.079,0.069,0.045,0.042,0.065
HALMAHERA BARAT,-,0,0,0,-,0,-,-,-,0.003,0.002,0.004,0.005,0.004,0.002,0.004,1.567,1.619,1.597,1.705,1.583,1.863,1.635,1.779,0.025,0.015,0.019,0.018,0.014,0.013,0.013,0.003,0.031,0.03,0.029,0.024,0.024,0.026,0.027
HALMAHERA TENGAH,0.005,0.003,0,-,-,-,-,-,0.003,0.006,0.003,0.003,0.006,0.003,0.012,0.009,1.284,1.271,1.181,1.32,1.327,1.39,1.5,1.637,0.14,0.028,0.018,0.014,0.018,0.028,0.031,0.012,0.059,0.065,0.06,0.109,0.062,0.065,0.065
KEPULAUAN SULA,-,0.001,0,-,-,0.001,0,-,0.004,0.001,0,0,0.004,0,0.003,0.002,1.94,1.759,1.752,1.732,1.7,2.093,1.726,1.712,0.051,0.055,0.012,0.002,0.008,0.038,0.024,0.009,0.041,0.061,0.045,0.05,0.074,0.084,0.044
HALMAHERA SELATAN,-,0,0,-,-,0,0,-,0,0.002,0.001,0.001,0.002,0.002,0.002,0.004,1.376,1.399,1.323,1.384,1.571,1.699,1.603,1.74,0.006,0.049,0.018,0.001,0.006,0.032,0.042,0.007,0.025,0.032,0.027,0.033,0.031,0.036,0.019
HALMAHERA UTARA,-,0,0,-,-,0,-,-,0.005,0.002,0.004,0.005,0.007,0.004,0.005,0.005,1.299,1.256,1.401,1.609,1.484,1.37,1.462,1.326,0.022,0.015,0.014,0.02,0.024,0.008,0.023,0.032,0.066,0.049,0.032,0.036,0.035,0.035,0.038
HALMAHERA TIMUR,-,0,0,-,-,-,0,-,0.005,0.003,0.002,0.003,0.003,0.004,0.005,0.005,1.339,1.239,1.274,1.407,1.468,1.289,1.257,1.252,0.022,0.057,0.018,0.015,0.024,0.02,0.032,0.026,0.064,0.055,0.028,0.025,0.035,0.032,0.048
PULAU MOROTAI,-,0,0,-,0,0,0,-,0.002,0.002,0.001,0.002,0.008,0.009,0.005,0.002,1.438,1.25,1.316,1.371,1.522,1.493,1.521,1.466,0.026,0.036,0.043,0.014,0.057,0.059,0.03,0.019,0.019,0.02,0.042,0.024,0.044,0.034,0.023
PULAU TALIABU,0.001,0,0,-,-,0,-,-,-,0.001,0.002,0,0.001,0,0,0.001,1.632,1.693,1.566,1.709,1.832,2.013,1.58,1.718,0.003,0.012,0.003,0.005,0.004,0.021,0.006,0.005,0.026,0.07,0.059,0.039,0.102,0.07,0.046
KOTA TERNATE,-,0,0,-,0.001,-,-,-,0.012,0.012,0.009,0.009,0.01,0.015,0.01,0.014,1.391,1.413,1.374,1.451,1.564,1.514,1.48,1.404,0.012,0.004,0.015,0.012,0.008,0.001,0.009,0.012,0.037,0.046,0.044,0.042,0.052,0.06,0.057
KOTA TIDORE KEPULAUAN,0,0,0,0,-,-,-,0,0.013,0.01,0.014,0.009,0.011,0.008,0.006,0.005,1.387,1.378,1.516,1.583,1.413,1.477,1.379,1.417,0.016,0.014,0.012,0.007,0.009,0.024,0.042,0.042,0.035,0.035,0.041,0.051,0.054,0.043,0.045
FAKFAK,-,0,0,-,0.001,0,-,0.001,0.002,0.008,0.017,0.018,0.016,0.006,0.01,0.006,1.604,1.568,1.536,1.657,1.628,1.487,1.495,1.503,0.005,0.017,0.02,0.023,0.019,0.023,0.009,0.009,0.05,0.051,0.104,0.094,0.17,0.08,0.061
KAIMANA,-,0.001,0,-,0.001,-,-,-,0.01,0.007,0.006,0.002,0.005,0.003,0.004,0.001,1.442,1.348,1.48,1.371,1.356,1.398,1.451,1.252,0.027,0.01,0.007,0.005,0.01,0.028,0.021,0.025,0.081,0.073,0.08,0.094,0.079,0.074,0.058
TELUK WONDAMA,-,0,0,-,-,-,-,-,0.002,0.005,0.005,0.001,0.003,0.002,0.001,0.003,1.294,1.293,1.419,1.296,1.215,1.271,1.157,1.47,0.011,0.018,0.024,0.006,0.005,0.021,0.011,0.003,0.078,0.095,0.162,0.084,0.101,0.152,0.1
TELUK BINTUNI,-,0,0,-,0,-,0.001,-,0.007,0.006,0.005,0.007,0.006,0.009,0.005,0.009,1.599,1.474,1.435,1.45,1.548,1.343,1.323,1.288,0.014,0.019,0.013,0.009,0.009,0.018,0.018,0.014,0.085,0.08,0.097,0.127,0.115,0.109,0.073
MANOKWARI,-,0,0,0,-,0,-,-,0.014,0.014,0.016,0.008,0.016,0.006,0.011,0.008,1.472,1.381,1.472,1.655,1.557,1.522,1.497,1.541,0.014,0.016,0.023,0.016,0.012,0.018,0.012,0.036,0.093,0.05,0.054,0.064,0.11,0.096,0.1
MANOKWARI SELATAN,-,0,0,-,-,0.001,-,0,0.001,0.003,0.008,0.003,0.035,0.006,0.011,0.004,1.533,1.457,1.457,1.441,1.364,1.511,1.562,1.501,0.03,0.013,0.05,0.031,0.009,0.016,0.032,0.022,0.096,0.086,0.115,0.105,0.15,0.088,0.145
PEGUNUNGAN ARFAK,-,0,0,-,-,-,-,0.001,0.13,0.234,0.139,0.22,0.116,0.183,0.11,0.038,1.658,1.356,1.187,1.616,1.329,1.406,1.227,1.233,0.01,0.005,0.017,0.042,0.029,0.06,0.061,0.058,0.002,0.031,0.047,0.056,0.095,0.075,0.025
RAJA AMPAT,-,0.001,0,-,0,0.002,0.001,0,0.002,0.004,0.006,0.004,0.001,0.003,0.004,0.005,1.55,1.396,1.504,1.477,1.544,1.569,1.467,1.474,0.011,0.014,0.007,0.006,0.006,0.009,0.016,0.011,0.108,0.033,0.086,0.075,0.033,0.04,0.043
SORONG,-,0,0,0,-,-,0.001,-,0.003,0.011,0.003,0.014,0.013,0.015,0.011,0.01,1.499,1.516,1.474,1.458,1.411,1.49,1.427,1.344,0.023,0.043,0.013,0.048,0.026,0.022,0.027,0.036,0.066,0.066,0.057,0.073,0.121,0.107,0.1
SORONG SELATAN,-,0,0,-,0.001,-,-,-,0.008,0.002,0.007,0.002,-,0.001,-,0.008,0.785,1.261,1.209,0.828,0.768,0.714,0.723,0.857,0.021,0.013,0.011,0.021,0.002,0.003,0.004,0.005,0.066,0.102,0.138,0.137,0.16,0.179,0.151
MAYBRAT,-,0,0,-,-,-,-,0.003,0.003,0.002,0.008,0.004,0.001,0.001,0.005,0,1.424,1.366,1.659,1.506,1.436,1.292,1.161,1.265,0.058,0.027,0.021,0.006,0.03,0.025,0.021,0.018,0.083,0.136,0.23,0.232,0.208,0.234,0.218
TAMBRAUW,-,0,0,-,-,0.002,-,-,0.005,0.002,0.001,0.001,0.007,0.002,0.003,0.002,1.47,1.594,1.464,1.454,1.406,1.259,1.254,1.272,0.007,0.008,0.021,0.003,0.008,0.002,0.014,0.013,0.085,0.104,0.123,0.101,0.093,0.171,0.17
KOTA SORONG,-,0,0.001,0.001,0.001,-,-,0,0.017,0.008,0.022,0.016,0.02,0.013,0.019,0.026,1.466,1.379,1.468,1.397,1.466,1.509,1.505,1.492,0.031,0.014,0.006,0.017,0.017,0.014,0.03,0.027,0.08,0.079,0.064,0.077,0.063,0.055,0.064
JAYAPURA,0,0,0,0,-,0.001,0.001,0,0.006,0.013,0.007,0.015,0.008,0.014,0.014,0.006,1.173,1.267,1.271,1.358,1.3,1.379,1.186,1.173,0.016,0.025,0.017,0.012,0.025,0.053,0.02,0.045,0.142,0.132,0.158,0.124,0.152,0.17,0.143
KEPULAUAN YAPEN,-,0.001,0.001,0.001,-,-,0,-,0.004,0.004,0.003,0.008,0.002,0.002,0.004,0.002,1.175,1.177,1.106,1.173,1.206,1.308,1.333,1.189,0.009,0.015,0.008,0.006,0.005,0.002,0.031,0.015,0.151,0.127,0.149,0.137,0.118,0.158,0.158
BIAK NUMFOR,-,0,0.001,-,-,-,-,0.001,0.001,0.016,0.005,0.009,0.002,0.004,0.005,0.008,1.66,1.505,1.501,1.604,1.285,1.461,1.456,1.51,0.01,0.028,0.014,0.011,0.01,0.005,0.006,0.006,0.07,0.092,0.105,0.094,0.114,0.086,0.059
SARMI,-,0,0,-,-,-,-,-,0.001,0.003,0.014,0.006,0.002,0.002,0.007,0.003,1.764,1.517,1.641,1.604,1.396,1.442,1.472,1.409,0.001,0.008,0.01,0,0.005,0.005,0.011,0.009,0.082,0.076,0.08,0.087,0.078,0.078,0.075
KEEROM,-,0,0,-,0.001,0,0,-,0.002,0.012,0.007,0.007,0.002,0.007,0.018,0.002,1.601,1.562,1.391,1.584,1.287,1.3,1.44,1.244,0.005,0.017,0.03,0.014,0.013,0.022,0.066,0.024,0.058,0.124,0.113,0.111,0.138,0.17,0.154
WAROPEN,0,0,0,-,-,0,-,0,0,0.002,0.005,0.001,-,0.002,-,-,1.536,1.119,1.548,1.519,1.324,1.315,1.288,1.194,0.016,0.007,0.01,0.003,0.001,0.011,0.003,0.003,0.085,0.18,0.097,0.087,0.089,0.084,0.105
SUPIORI,-,0,0,-,0,0.001,-,0.001,-,0.007,0.001,0.002,0.007,0.001,0.004,0.001,1.718,1.726,2.091,2.031,1.889,1.788,1.504,1.444,0.002,0.001,0.003,0.005,0.003,0.008,0.008,0.007,0.087,0.128,0.241,0.141,0.219,0.145,0.135
MAMBERAMO RAYA,-,0,0,-,-,-,-,0.003,-,0,0,0.001,-,0,0,-,0.869,0.784,0.953,0.839,0.892,0.938,1.031,1.024,-,0.022,0.002,-,0,-,-,-,0.054,0.13,0.027,0.108,0.059,0.047,0.039
KOTA JAYAPURA,0.201,0,0,-,-,0,0.001,0,0.006,0.008,0.016,0.013,0.013,0.015,0.014,0.012,1.303,1.412,1.314,1.41,1.362,1.396,1.218,1.203,0.023,0.012,0.013,0.015,0.004,0.02,0.013,0.015,0.151,0.144,0.138,0.114,0.131,0.124,0.096
MERAUKE,0.001,0,0.001,-,0,0,-,0,0.008,0.007,0.007,0.012,0.014,0.015,0.008,0.013,1.483,1.577,1.522,1.439,1.431,1.469,1.033,1.4,0.034,0.095,0.066,0.046,0.019,0.039,0.007,0.067,0.088,0.077,0.084,0.084,0.096,0.089,0.103
BOVEN DIGOEL,-,0.001,0.001,-,-,-,-,0.001,0.003,0.007,0.002,0.002,0.005,0.006,0.009,0.008,1.481,1.415,1.722,1.242,1.206,1.106,1.515,1.174,0.012,0.036,0.015,0.012,0.01,0.018,0.076,0.016,0.107,0.196,0.103,0.095,0.093,0.115,0.105
MAPPI,-,0,0,-,-,-,-,-,0.005,0.001,0,0.002,0,0.002,0,0.005,1.018,0.972,1.032,1.033,1.1,0.999,1.002,1.046,0.014,0,0.001,-,0.006,0.002,0.004,0.001,0.033,0.02,0.025,0.013,0.02,0.036,0.03
ASMAT,-,0,0,0.001,-,-,-,-,-,0.001,0.004,0.002,0.001,0.002,0.001,0.003,1.048,0.863,1.041,1.107,1.022,1.123,0.882,0.952,-,0,0,-,0.001,0.003,-,0.002,0.049,0.042,0.064,0.06,0.049,0.043,0.066
MIMIKA,0,0.002,0,-,-,-,-,0,0.012,0.011,0.013,0.039,0.027,0.014,0.026,0.043,1.344,1.434,1.506,1.376,1.357,1.414,1.281,1.424,0.044,0.011,0.036,0.027,0.009,0.015,0.026,0.018,0.126,0.096,0.097,0.09,0.085,0.091,0.111
DOGIYAI,0.035,0.01,0.015,0.003,0.001,0,-,0,0.008,0.013,0.014,0.032,0.001,0.033,0.013,0.004,0.922,0.636,0.707,0.727,0.862,1.103,0.997,1.23,0.058,0.051,0.041,0.056,0.026,0.078,0.089,0.042,0.382,0.386,0.42,0.143,0.185,0.101,0.164
DEIYAI,0.096,0,0,-,-,0.002,0.001,-,-,0.001,0,-,-,0,0.001,0,0.998,0.977,0.904,0.971,0.944,0.757,0.896,1.032,0.057,0,0,0.018,-,0.092,0.002,0.003,0.11,0.136,0.269,0.196,0.188,0.227,0.198
